PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
1,2.744,0.085,2.593,0.062,2.591,0.053,3.275,0.018,2.574,0.022,3.106,0.030,3.340,0.035,3.150,0.053,2.570,0.027
2,2.550,0.023,2.539,0.024,2.588,0.057,3.276,0.026,2.568,0.026,3.098,0.013,3.385,0.027,3.154,0.051,2.581,0.068
3,2.571,0.056,2.541,0.021,2.619,0.058,3.302,0.094,2.588,0.072,3.258,0.082,3.418,0.117,3.137,0.008,2.555,0.016
4,2.548,0.067,2.533,0.017,2.568,0.018,3.342,0.182,2.569,0.028,3.100,0.022,3.416,0.089,3.138,0.005,2.563,0.024
5,2.548,0.055,2.538,0.021,2.564,0.026,3.268,0.010,2.566,0.025,3.112,0.027,3.339,0.056,3.142,0.012,2.559,0.031
6,2.534,0.018,2.543,0.072,2.570,0.038,3.268,0.022,2.555,0.014,3.103,0.013,3.396,0.019,3.157,0.068,2.574,0.075
7,2.536,0.021,2.528,0.011,2.578,0.065,3.266,0.013,2.563,0.020,3.219,0.076,3.419,0.088,3.140,0.008,2.566,0.063
8,2.533,0.024,2.529,0.013,2.592,0.070,3.274,0.019,2.577,0.039,3.106,0.027,3.347,0.020,3.153,0.031,2.595,0.088
9,2.535,0.023,2.557,0.071,2.630,0.114,3.493,1.474,2.576,0.034,3.236,0.047,3.339,0.020,3.145,0.010,2.564,0.023
10,2.558,0.083,2.548,0.076,2.570,0.008,3.259,0.026,2.577,0.057,3.207,0.041,3.456,0.210,3.164,0.092,2.570,0.043
20,2.547,0.017,2.543,0.071,2.563,0.018,3.271,0.008,2.587,0.077,3.121,0.027,3.419,0.038,3.142,0.003,2.555,0.012
30,2.563,0.029,2.540,0.040,2.576,0.042,3.284,0.046,2.585,0.051,3.136,0.021,3.397,0.019,3.032,0.020,2.560,0.030
40,2.597,0.009,2.535,0.024,2.588,0.088,3.267,0.031,2.567,0.017,3.163,0.070,3.471,0.113,3.147,0.020,2.580,0.077
50,2.608,0.082,2.534,0.022,2.581,0.044,3.283,0.081,2.568,0.016,3.325,0.156,3.517,0.098,3.146,0.017,2.559,0.022
60,2.633,0.065,2.553,0.021,2.568,0.052,3.283,0.028,2.567,0.024,3.176,0.055,3.419,0.018,3.037,0.032,2.880,1.232
70,2.653,0.041,2.557,0.020,2.571,0.031,3.273,0.016,2.609,0.086,3.304,0.108,3.442,0.050,3.031,0.023,2.573,0.092
80,2.663,0.044,2.569,0.050,2.881,1.237,3.274,0.023,2.563,0.029,3.350,0.070,3.520,0.027,3.190,0.096,2.643,0.148
90,2.692,0.066,2.550,0.032,2.577,0.069,3.262,0.015,2.571,0.027,3.333,0.073,3.462,0.030,3.153,0.026,2.783,0.257
100,2.675,0.044,2.578,0.049,2.601,0.099,3.525,1.158,2.575,0.026,3.258,0.070,3.562,0.115,3.042,0.066,2.558,0.014
200,2.765,0.017,2.544,0.022,2.491,0.030,3.221,0.071,2.502,0.093,3.483,0.029,3.648,0.019,3.189,0.111,2.539,0.015
300,2.881,0.066,2.557,0.086,2.484,0.031,3.078,0.022,2.493,0.052,3.597,0.029,3.699,0.095,3.224,0.063,2.574,0.042
400,2.977,0.039,2.562,0.071,2.490,0.016,3.098,0.037,2.506,0.039,3.715,0.035,3.798,0.030,3.173,0.019,2.489,0.071
500,3.114,0.082,2.652,0.161,2.485,0.022,3.437,1.436,2.518,0.040,3.837,0.030,3.946,0.117,3.205,0.032,2.478,0.009
600,3.208,0.110,2.548,0.022,2.505,0.082,3.104,0.091,2.486,0.020,3.930,0.043,4.537,2.020,3.188,0.013,2.494,0.084
700,3.324,0.079,2.564,0.023,2.485,0.012,3.138,0.095,2.495,0.014,4.293,0.699,4.281,0.073,3.195,0.031,2.477,0.010
800,3.402,0.019,2.687,0.429,2.547,0.047,3.106,0.045,2.484,0.013,4.153,0.041,4.235,0.020,3.177,0.022,2.489,0.022
900,3.512,0.011,2.554,0.019,2.539,0.051,3.105,0.027,2.499,0.042,4.295,0.130,4.353,0.048,3.183,0.006,2.490,0.075
1000,3.620,0.020,2.570,0.085,2.513,0.095,3.089,0.032,2.489,0.022,4.381,0.102,4.474,0.039,3.408,0.118,2.616,0.079
2000,4.820,0.125,2.598,0.089,2.553,0.103,3.169,0.137,2.513,0.029,6.088,0.577,6.010,0.077,3.253,0.043,2.511,0.040
3000,5.902,0.249,2.667,0.096,2.549,0.105,3.507,1.505,2.533,0.050,6.666,0.062,6.637,0.047,3.226,0.030,2.499,0.014
4000,6.818,0.040,2.624,0.080,2.523,0.016,3.148,0.076,2.538,0.064,7.612,0.078,7.889,0.313,3.241,0.085,2.520,0.027
5000,7.847,0.215,2.657,0.089,2.537,0.023,3.138,0.007,2.548,0.078,8.883,0.259,8.864,0.204,3.249,0.041,2.526,0.026
6000,8.991,0.111,2.644,0.022,2.547,0.031,3.152,0.017,2.553,0.033,9.671,0.062,9.793,0.099,3.256,0.025,2.534,0.017
7000,9.994,0.169,2.661,0.015,2.553,0.022,3.190,0.034,2.544,0.013,10.851,0.090,10.978,0.212,3.262,0.017,2.547,0.031
8000,11.051,0.296,2.676,0.025,2.576,0.086,3.183,0.088,2.561,0.036,13.094,5.948,12.043,0.249,3.290,0.073,2.588,0.073
9000,12.081,0.251,2.697,0.031,2.575,0.027,3.184,0.076,2.578,0.040,12.647,0.466,12.781,0.146,3.288,0.036,2.639,0.154
10000,13.061,0.205,2.718,0.026,2.589,0.044,3.174,0.038,2.586,0.017,13.558,0.120,13.960,0.615,3.284,0.018,2.596,0.068
20000,23.281,0.165,2.901,0.027,3.010,0.851,3.260,0.016,2.706,0.076,24.094,0.654,24.507,0.221,3.395,0.015,2.717,0.079
30000,33.993,1.082,3.097,0.084,2.813,0.078,3.379,0.030,2.804,0.039,34.183,0.321,34.207,0.136,3.529,0.070,2.831,0.051
40000,44.486,0.715,3.252,0.014,2.912,0.046,3.484,0.012,2.904,0.028,44.431,0.397,44.647,0.456,3.626,0.031,2.987,0.047
50000,54.164,0.669,3.462,0.087,3.003,0.022,3.577,0.022,3.012,0.066,55.007,0.405,55.357,0.516,3.740,0.085,3.067,0.036
60000,64.547,0.839,3.659,0.099,3.113,0.027,3.716,0.099,3.140,0.095,65.001,0.834,65.292,1.035,3.824,0.054,3.189,0.016
70000,76.422,3.397,3.794,0.078,3.224,0.025,3.809,0.050,3.633,1.615,75.127,1.192,76.231,0.646,3.924,0.025,3.304,0.030
80000,86.228,2.202,3.980,0.037,3.327,0.042,3.907,0.032,3.332,0.030,85.571,0.659,86.962,2.544,4.114,0.145,3.435,0.078
90000,96.006,2.165,4.154,0.038,3.426,0.011,4.059,0.150,3.433,0.022,96.580,2.914,97.821,2.640,4.147,0.030,3.565,0.019
100000,105.781,2.597,4.414,0.255,3.589,0.108,4.172,0.068,3.564,0.041,106.022,1.494,106.132,0.975,4.285,0.044,3.750,0.111
200000,210.067,6.164,6.189,0.044,2.719,0.037,5.213,0.054,2.718,0.027,211.294,1.814,211.344,1.462,5.242,0.027,4.961,0.050
300000,312.915,2.167,8.219,0.066,2.729,0.084,6.351,0.049,2.713,0.011,315.069,9.290,312.068,2.556,6.351,0.077,6.289,0.115
400000,413.262,3.984,9.934,0.046,2.741,0.109,7.443,0.059,2.736,0.091,419.637,10.660,420.893,9.898,7.470,0.064,7.650,0.060
500000,525.378,26.871,11.148,0.257,2.746,0.083,8.095,0.075,2.714,0.032,525.001,5.704,515.700,7.598,8.009,0.090,8.558,0.230
600000,621.590,10.276,10.959,0.130,2.727,0.010,8.467,3.781,2.747,0.071,620.656,4.476,619.353,3.594,7.460,0.250,7.957,0.029
700000,718.632,19.980,10.427,0.278,2.721,0.016,6.378,0.034,2.735,0.086,714.384,4.210,812.297,365.846,6.368,0.171,7.015,0.113
800000,811.734,4.734,9.928,0.116,2.719,0.004,5.223,0.172,2.731,0.039,818.217,5.395,825.847,2.204,5.252,0.061,6.220,0.131
900000,935.556,34.541,9.348,0.095,3.604,0.048,4.063,0.023,3.607,0.041,917.749,5.385,930.015,26.201,4.272,0.046,5.187,0.037
